filename,mean_best_ts,mean_best_ini,mean_ts,low_best_ts,low_best_ini,opt_val,std_best_ts,std_best_ini,std_time_ts,mean_err_best_ts,mean_err_best_ini,low_err_best_ts,low_err_best_ini
bayg29_10_1,1864.0,1948.0,0.03,1864.0,1948.0,1610.0,0.0,0.0,0.01282,15.7764,20.99379,15.7764,20.99379
bayg29_10_10,1893.0,1991.0,0.03109,1893.0,1991.0,1655.0,0.0,0.0,0.01094,14.38066,20.30211,14.38066,20.30211
bayg29_10_2,1974.48,2135.0,0.03453,1806.0,2135.0,1654.0,66.17076,0.0,0.01687,19.37606,29.08102,9.18984,29.08102
bayg29_10_3,1987.0,2156.0,0.03125,1987.0,2156.0,1753.0,0.0,0.0,0.0106,13.34855,22.98916,13.34855,22.98916
bayg29_10_4,1882.0,2073.0,0.03297,1882.0,2073.0,1622.0,0.0,0.0,0.01324,16.02959,27.80518,16.02959,27.80518
bayg29_10_5,2018.18,2101.0,0.03656,1768.0,2101.0,1645.0,82.5155,0.0,0.01954,22.68571,27.72036,7.4772,27.72036
bayg29_10_6,1857.0,2005.0,0.02938,1857.0,2005.0,1622.0,0.0,0.0,0.01312,14.48829,23.61282,14.48829,23.61282
bayg29_10_7,2205.0,2258.0,0.03141,2205.0,2258.0,1833.0,0.0,0.0,0.01523,20.2946,23.18603,20.2946,23.18603
bayg29_10_8,2328.59,2654.0,0.04828,2178.0,2654.0,2114.0,95.84739,0.0,0.02481,10.1509,25.54399,3.02744,25.54399
bayg29_10_9,1780.0,1956.0,0.02844,1780.0,1956.0,1628.0,0.0,0.0,0.01198,9.33661,20.14742,9.33661,20.14742
bayg29_25_1,2038.0,2139.0,0.03031,2038.0,2139.0,2027.0,0.0,0.0,0.01227,0.54267,5.52541,0.54267,5.52541
bayg29_25_10,2100.04,2220.0,0.03828,1957.0,2220.0,1862.0,63.43026,0.0,0.01387,12.7841,19.22664,5.10204,19.22664
bayg29_25_2,1880.11,2298.0,0.04188,1778.0,2298.0,1655.0,68.53304,0.0,0.0186,13.60181,38.85196,7.43202,38.85196
bayg29_25_3,2029.02,2156.0,0.02969,1950.0,2156.0,1827.0,43.89487,0.0,0.01335,11.05747,18.00766,6.73235,18.00766
bayg29_25_4,2142.0,2179.0,0.03078,2142.0,2179.0,1799.0,0.0,0.0,0.01297,19.06615,21.12285,19.06615,21.12285
bayg29_25_5,1950.4,2051.0,0.03453,1873.0,2051.0,1709.0,31.22883,0.0,0.01175,14.12522,20.0117,9.59626,20.0117
bayg29_25_6,2077.37,2198.0,0.03438,1934.0,2198.0,1841.0,69.43726,0.0,0.01105,12.83922,19.39163,5.0516,19.39163
bayg29_25_7,2071.0,2112.0,0.03219,2071.0,2112.0,1805.0,0.0,0.0,0.01166,14.73684,17.00831,14.73684,17.00831
bayg29_25_8,1928.0,2180.0,0.03312,1928.0,2180.0,1718.0,0.0,0.0,0.01175,12.22352,26.89173,12.22352,26.89173
bayg29_25_9,1927.0,1999.0,0.03297,1927.0,1999.0,1683.0,0.0,0.0,0.01057,14.49792,18.776,14.49792,18.776
bayg29_50_1,2191.52,2459.0,0.04938,2058.0,2459.0,1928.0,97.59206,0.0,0.01526,13.66805,27.54149,6.74274,27.54149
